X In-Phase_x,X In-Phase_y,X Quadrature_x,X Quadrature_y,Y In-Phase_x,Y In-Phase_y,Y Quadrature_x,Y Quadrature_y,Z In-Phase_x,Z In-Phase_y,Z Quadrature_x,Z Quadrature_y
18.6039669514,1.1915892640,18.6039669514,0.0000754470,18.6039669514,2.4383238882,18.6039669514,0.0001394537,18.6039669514,-1.3354233227,18.6039669514,0.000017655
18.8015120029,1.1915981682,18.8015120029,0.0000639328,18.8015120029,2.4380483813,18.8015120029,0.0001529541,18.8015120029,-1.3354303736,18.8015120029,-0.0000190124
19.0116961002,1.1941180498,19.0116961002,0.0170615366,19.0116961002,2.4381937681,19.0116961002,0.0340630304,19.0116961002,-1.3323516723,19.0116961002,0.0148757376
19.2008121014,1.1940992812,19.2008121014,0.0170312720,19.2008121014,2.4383767335,19.2008121014,0.0340452909,19.2008121014,-1.3323525553,19.2008121014,0.0148702080
19.3881120682,1.1940925306,19.3881120682,0.0170349572,19.3881120682,2.4384713808,19.3881120682,0.0340411045,19.3881120682,-1.332330664,19.3881120682,0.0149033561
19.584043026,1.1941171454,19.584043026,0.0170833588,19.584043026,2.4381680721,19.584043026,0.0341449188,19.584043026,-1.3323568469,19.584043026,0.0149130087
19.7750821114,1.1940976657,19.7750821114,0.0171407171,19.7750821114,2.4385898100,19.7750821114,0.0341925671,19.7750821114,-1.3323456525,19.7750821114,0.0149883864
19.9698419571,1.1940942974,19.9698419571,0.0171322243,19.9698419571,2.4381932198,19.9698419571,0.0342033451,19.9698419571,-1.3323440049,19.9698419571,0.0149319083
20.1576299667,1.1941044808,20.1576299667,0.0171326658,20.1576299667,2.4385529131,20.1576299667,0.0341832451,20.1576299667,-1.3323733191,20.1576299667,0.0149820305
20.3426449299,1.1940962157,20.3426449299,0.017120607,20.3426449299,2.4386023602,20.3426449299,0.0341885925,20.3426449299,-1.3323907744,20.3426449299,0.0149884655
20.5374441147,1.1940972436,20.5374441147,0.0171101411,20.5374441147,2.4385464313,20.5374441147,0.0341567011,20.5374441147,-1.3323931819,20.5374441147,0.0149436389
20.7339661121,1.1940685719,20.7339661121,0.0171196167,20.7339661121,2.4386012448,20.7339661121,0.0341463714,20.7339661121,-1.3323474114,20.7339661121,0.0149814029
20.9278769493,1.1940873265,20.9278769493,0.017170552,20.9278769493,2.4381261873,20.9278769493,0.0342488017,20.9278769493,-1.3323590144,20.9278769493,0.0150050031
21.1165521145,1.194096641,21.1165521145,0.0171706895,21.1165521145,2.4384011120,21.1165521145,0.0342352966,21.1165521145,-1.332370073,21.1165521145,0.0150070602
21.3092730045,1.1942008738,21.3092730045,0.0000049415,21.3092730045,2.4386885518,21.3092730045,-0.0000069775,21.3092730045,-1.3324435712,21.3092730045,0.0000050538
21.5001819134,1.1941921544,21.5001819134,-0.0000314504,21.5001819134,2.4387001074,21.5001819134,-0.0000705095,21.5001819134,-1.3324331618,21.5001819134,-0.0000487048
21.6933650970,1.1941979781,21.6933650970,-0.0000355237,21.6933650970,2.4388263769,21.6933650970,-0.0000829094,21.6933650970,-1.3324122998,21.6933650970,-0.0000383172
21.8792130947,1.1942142899,21.8792130947,-0.0000608440,21.8792130947,2.4385568112,21.8792130947,-0.0000818792,21.8792130947,-1.3324199799,21.8792130947,-0.000087881
22.0786340237,1.1942087589,22.0786340237,-0.0000611372,22.0786340237,2.4388334859,22.0786340237,-0.0001598061,22.0786340237,-1.3323615998,22.0786340237,-0.0000736431
22.2655150890,1.1942029297,22.2655150890,-0.0000427996,22.2655150890,2.4388199816,22.2655150890,-0.0001300316,22.2655150890,-1.3323684804,22.2655150890,-0.0000542033
22.4586329460,1.1941816813,22.4586329460,-0.0000495032,22.4586329460,2.4387862536,22.4586329460,-0.0001231343,22.4586329460,-1.33238107,22.4586329460,-0.0000773217
22.6520121098,1.1941889524,22.6520121098,-0.0000320339,22.6520121098,2.4387349285,22.6520121098,-0.0000893491,22.6520121098,-1.332392342,22.6520121098,-0.0000553036
22.8400509357,1.1942049893,22.8400509357,-0.0000998562,22.8400509357,2.4383679794,22.8400509357,-0.0001622617,22.8400509357,-1.3324146853,22.8400509357,-0.0001242209
23.0325341225,1.1942067364,23.0325341225,-0.00010102,23.0325341225,2.4387715403,23.0325341225,-0.0001981537,23.0325341225,-1.3323754838,23.0325341225,-0.0000830910
23.2244729996,1.1941808421,23.2244729996,-0.0001388740,23.2244729996,2.438305647,23.2244729996,-0.0002166183,23.2244729996,-1.3323685980,23.2244729996,-0.0001336808
23.4171891212,1.1941770280,23.4171891212,-0.0000611493,23.4171891212,2.4387484711,23.4171891212,-0.0001127193,23.4171891212,-1.3323800325,23.4171891212,-0.0000333524
23.6108839512,1.1941854671,23.6108839512,-0.0000529951,23.6108839512,2.4384850879,23.6108839512,-0.0000514654,23.6108839512,-1.3323868139,23.6108839512,-0.0000549599
23.8021149635,1.1941979891,23.8021149635,-0.0000643435,23.8021149635,2.438512654,23.8021149635,-0.0000664771,23.8021149635,-1.3324174653,23.8021149635,-0.0000767944
23.9932601452,1.1942084575,23.9932601452,-0.0000340642,23.9932601452,2.4387775637,23.9932601452,-0.0000671883,23.9932601452,-1.3324195048,23.9932601452,-0.0000153870
24.1840789318,1.1942096373,24.1840789318,-0.0000745279,24.1840789318,2.4383117488,24.1840789318,-0.0000725532,24.1840789318,-1.3324610272,24.1840789318,-0.0000879802
24.3791429996,1.1942099004,24.3791429996,-0.0000008772,24.3791429996,2.4388042683,24.3791429996,-0.0000315410,24.3791429996,-1.3324330945,24.3791429996,0.0000054446
