frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
3309.3106622159244,2,2025-07-30T09:41:44.537320,-161318.50,452.50,161319.13,159896.50,444.50,159897.12,-112015.00,292.00,112015.38,111417.50,284.50,111417.86,-250529.50,1397.50,250533.40,257137.50,1375.50,257141.18,-875390.50,8.50,875390.50,-875680.50,13.50,875680.50,
3871.1371050752355,2,2025-07-30T09:41:45.355917,-160715.00,407.00,160715.52,159280.50,413.50,159281.04,-111648.00,385.00,111648.66,111044.00,378.00,111044.64,-250140.50,1150.50,250143.15,256746.50,1115.50,256748.92,-875427.00,1.00,875427.00,-875721.50,4.50,875721.50,
4528.345633243088,2,2025-07-30T09:41:46.187983,-159813.50,439.50,159814.10,158387.00,430.00,158387.58,-111034.50,314.50,111034.95,110434.00,307.00,110434.43,-248842.50,1365.50,248846.25,255457.00,1352.00,255460.58,-875368.50,20.50,875368.50,-875666.00,32.00,875666.00,
5297.129400874892,2,2025-07-30T09:41:47.005243,-159549.50,527.50,159550.37,158153.50,539.50,158154.42,-111002.00,403.00,111002.73,110416.00,403.00,110416.74,-248315.50,1484.50,248319.94,254928.50,1446.50,254932.60,-875411.00,17.00,875411.00,-875697.50,7.50,875697.50,
6196.4306972561235,2,2025-07-30T09:41:47.822010,-160031.50,279.50,160031.74,158634.00,284.00,158634.25,-111529.00,260.00,111529.30,110951.50,253.50,110951.79,-248903.00,694.00,248903.97,255527.00,667.00,255527.87,-875419.00,1.00,875419.00,-875726.00,35.00,875726.00,
7248.4076714373705,2,2025-07-30T09:41:48.639240,-160680.50,145.50,160680.57,159311.50,180.50,159311.60,-111631.00,65.00,111631.02,111075.50,84.50,111075.53,-249565.50,629.50,249566.29,256200.50,649.50,256201.32,-875386.00,6.00,875386.00,-875686.00,27.00,875686.00,
8478.980293383642,2,2025-07-30T09:41:49.454550,-160966.00,566.00,160967.00,159594.50,597.50,159595.62,-111718.50,390.50,111719.18,111160.50,413.50,111161.27,-249890.50,1653.50,249895.97,256532.00,1632.00,256537.19,-875389.50,3.50,875389.50,-875698.50,2.50,875698.50,
9918.46900373522,2,2025-07-30T09:41:50.270902,-161025.00,286.00,161025.25,159629.50,333.50,159629.85,-111756.00,281.00,111756.35,111184.50,302.50,111184.91,-250043.50,667.50,250044.39,256667.50,649.50,256668.32,-875392.50,29.50,875392.50,-875712.00,22.00,875712.00,
11602.341788059299,2,2025-07-30T09:41:51.088674,-161683.00,167.00,161683.09,160315.50,138.50,160315.56,-112074.50,55.50,112074.51,111521.00,44.00,111521.01,-251045.50,627.50,251046.28,257670.00,630.00,257670.77,-875412.00,17.00,875412.00,-875664.50,31.50,875664.50,
13572.088082974531,2,2025-07-30T09:41:51.902932,-161128.50,571.50,161129.51,159799.50,573.50,159800.53,-111802.00,425.00,111802.81,111285.00,417.00,111285.78,-250197.50,1594.50,250202.58,256842.00,1561.00,256846.74,-875382.00,16.00,875382.00,-875679.00,15.00,875679.00,
15876.241046578438,2,2025-07-30T09:41:52.720156,-162704.00,162.00,162704.08,161368.00,167.00,161368.09,-111802.50,207.50,111802.69,111273.50,204.50,111273.69,-251564.50,370.50,251564.77,258222.50,342.50,258222.73,-875379.50,10.50,875379.50,-875671.00,19.00,875671.00,
18571.573381199294,2,2025-07-30T09:41:53.534192,-163952.50,401.50,163952.99,162613.50,397.50,162613.99,-113284.00,185.00,113284.15,112757.50,183.50,112757.65,-253361.50,1264.50,253364.66,260004.50,1249.50,260007.50,-875394.50,28.50,875394.50,-875673.50,1.50,875673.50,
21724.496172700903,2,2025-07-30T09:41:54.352279,-164366.50,503.50,164367.27,163041.00,519.00,163041.83,-113323.00,430.00,113323.82,112811.50,426.50,112812.31,-253936.00,1451.00,253940.15,260601.50,1412.50,260605.33,-875404.50,21.50,875404.50,-875669.50,8.50,875669.50,
25412.695212753097,2,2025-07-30T09:41:55.170184,-164312.50,408.50,164313.01,162974.50,425.50,162975.06,-113453.50,375.50,113454.12,112935.50,378.50,112936.13,-253867.50,1032.50,253869.60,260514.00,998.00,260515.91,-875373.00,26.00,875373.00,-875668.00,24.00,875668.00,
29727.04512189358,2,2025-07-30T09:41:55.986477,-163972.50,55.50,163972.51,162645.00,46.00,162645.01,-113206.00,55.00,113206.01,112679.00,54.00,112679.01,-254106.50,261.50,254106.63,260748.00,279.00,260748.15,-875408.00,33.00,875408.00,-875681.00,18.00,875681.00,
34773.84843602196,2,2025-07-30T09:41:56.804621,-164947.00,434.00,164947.57,163622.00,443.00,163622.60,-113143.00,301.00,113143.40,112638.50,310.50,112638.93,-255708.50,1429.50,255712.50,262352.50,1409.50,262356.29,-875429.00,6.00,875429.00,-875686.50,3.50,875686.50,
40677.45482583641,2,2025-07-30T09:41:57.619363,-164949.00,528.00,164949.85,163625.50,548.50,163626.42,-113324.50,413.50,113325.25,112811.50,419.50,112812.28,-255550.50,1386.50,255554.26,262206.00,1347.00,262209.46,-875407.00,30.00,875407.00,-875693.00,31.00,875693.00,
47583.32498493084,2,2025-07-30T09:41:58.435539,-165016.00,17.00,165016.00,163702.00,10.00,163702.00,-113302.00,49.00,113302.01,112804.00,56.00,112804.01,-255807.00,237.00,255807.11,262464.00,248.00,262464.12,-875403.50,14.50,875403.50,-875656.50,4.50,875656.50,
55661.614678592116,2,2025-07-30T09:41:59.252085,-164584.50,527.50,164585.35,163284.50,521.50,163285.33,-113216.50,370.50,113217.11,112729.00,361.00,112729.58,-255255.50,1574.50,255260.36,261919.00,1542.00,261923.54,-875382.00,13.00,875382.00,-875670.50,18.50,875670.50,
65111.3672617295,2,2025-07-30T09:42:00.069040,-164153.50,425.50,164154.05,162833.00,433.00,162833.58,-113034.00,358.00,113034.57,112525.00,357.00,112525.57,-254854.00,1177.00,254856.72,261510.00,1138.00,261512.48,-875394.00,39.00,875394.00,-875671.00,7.00,875671.00,
76165.41796661822,2,2025-07-30T09:42:00.886846,-163973.50,153.50,163973.57,162638.00,119.00,162638.04,-112930.50,190.50,112930.66,112411.50,153.50,112411.60,-254501.00,265.00,254501.14,261149.00,216.00,261149.09,-875397.00,28.00,875397.00,-875684.00,30.00,875684.00,
89096.13079864478,2,2025-07-30T09:42:01.716278,-163700.50,420.50,163701.04,162376.00,448.00,162376.62,-112808.00,344.00,112808.52,112299.50,355.50,112300.06,-254287.50,1106.50,254289.91,260940.50,1072.50,260942.70,-875392.00,29.00,875392.00,-875665.50,4.50,875665.50,
104222.1093931151,2,2025-07-30T09:42:02.534870,-162963.50,67.50,162963.51,161604.00,87.00,161604.02,-112552.50,153.50,112552.60,112004.00,154.00,112004.11,-253340.50,119.50,253340.53,259977.50,98.50,259977.52,-875429.50,0.50,875429.50,-875686.50,23.50,875686.50,
121916.04718389941,2,2025-07-30T09:42:03.351538,-162859.50,345.50,162859.87,161514.00,340.00,161514.36,-112320.50,223.50,112320.72,111792.00,224.00,111792.22,-253090.00,1133.00,253092.54,259734.00,1125.00,259736.44,-875416.00,24.00,875416.00,-875640.00,13.00,875640.00,
142613.91030652725,2,2025-07-30T09:42:04.167942,-162818.50,562.50,162819.47,161445.50,569.50,161446.50,-112336.50,464.50,112337.46,111793.00,458.00,111793.94,-253029.00,1579.00,253033.93,259672.50,1535.50,259677.04,-875395.00,22.00,875395.00,-875628.00,43.00,875628.00,
166825.67949598184,2,2025-07-30T09:42:04.986060,-163144.50,353.50,163144.88,161785.00,362.00,161785.40,-112495.50,297.50,112495.89,111966.00,292.00,111966.38,-253543.00,858.00,253544.45,260187.50,822.50,260188.80,-875434.00,9.00,875434.00,-875649.00,21.00,875649.00,
195147.9156519718,2,2025-07-30T09:42:05.839422,-162957.00,372.00,162957.42,161601.50,371.50,161601.93,-112458.50,220.50,112458.72,111929.50,223.50,111929.72,-253133.50,1212.50,253136.40,259793.00,1198.00,259795.76,-875394.50,2.50,875394.50,-875673.50,3.50,875673.50,
228278.45867833772,2,2025-07-30T09:42:06.691838,-162692.00,282.00,162692.24,161402.50,290.50,161402.76,-112184.50,192.50,112184.67,111702.00,202.00,111702.18,-252609.50,994.50,252611.46,259298.50,995.50,259300.41,-875374.00,22.00,875374.00,-875613.00,17.00,875613.00,
267033.6217656189,2,2025-07-30T09:42:07.523077,-163074.50,148.50,163074.57,161790.50,158.50,161790.58,-112819.00,200.00,112819.18,112338.00,200.00,112338.18,-253283.50,219.50,253283.60,259944.50,194.50,259944.57,-875424.00,25.00,875424.00,-875635.50,4.50,875635.50,
312368.3047717644,2,2025-07-30T09:42:08.337548,-163719.50,479.50,163720.20,162408.00,477.00,162408.70,-113069.50,339.50,113070.01,112574.00,333.00,112574.49,-253722.50,1497.50,253726.92,260377.50,1474.50,260381.67,-875412.50,12.50,875412.50,-875633.50,17.50,875633.50,
365399.5222804888,2,2025-07-30T09:42:09.155172,-163894.00,489.00,163894.73,162605.00,469.00,162605.68,-113429.00,358.00,113429.56,112937.00,333.00,112937.49,-253757.50,1216.50,253760.42,260416.50,1169.50,260419.13,-875376.00,23.00,875376.00,-875602.50,11.50,875602.50,
427433.9260520208,2,2025-07-30T09:42:09.972248,-164407.00,269.00,164407.22,163125.50,285.50,163125.75,-113696.50,289.50,113696.87,113215.50,290.50,113215.87,-254483.00,639.00,254483.80,261143.00,605.00,261143.70,-875377.50,9.50,875377.50,-875642.50,15.50,875642.50,
499999.99999999994,2,2025-07-30T09:42:10.790406,-164598.50,166.50,164598.58,163289.00,170.00,163289.09,-113628.50,37.50,113628.51,113133.50,49.50,113133.51,-254495.50,614.50,254496.24,261164.50,624.50,261165.25,-875372.00,12.00,875372.00,-875620.50,0.50,875620.50,
